
============================================================
  FETCH CC FROM BROCARDI.IT
  2026-02-04T02:39:27.084581
  Rate limit: 3.0 req/sec
============================================================

Available codici: CC, CP, CPC, CPP, COST, CDS, CCONS, CDPR

Fetching CC...
(This will take a while due to rate limiting)

2026-02-04 02:39:27 [info     ] Crawling hierarchy             base_url=https://www.brocardi.it/codice-civile/
2026-02-04 02:39:51 [info     ] Found articles                 count=3191
  [1/3191] 0.04 art/sec | ETA: 80132s | Art. 1
  [2/3191] 0.08 art/sec | ETA: 40628s | Art. 2
  [3/3191] 0.12 art/sec | ETA: 27457s | Art. 3
  [4/3191] 0.15 art/sec | ETA: 20837s | Art. 4
  [5/3191] 0.19 art/sec | ETA: 16890s | Art. 5
  [6/3191] 0.22 art/sec | ETA: 14239s | Art. 6
  [7/3191] 0.26 art/sec | ETA: 12360s | Art. 7
  [8/3191] 0.29 art/sec | ETA: 10937s | Art. 8
  [9/3191] 0.32 art/sec | ETA: 9839s | Art. 9
  [10/3191] 0.35 art/sec | ETA: 8973s | Art. 10
  [11/3191] 0.39 art/sec | ETA: 8253s | Art. 11
  [12/3191] 0.42 art/sec | ETA: 7642s | Art. 12
  [13/3191] 0.45 art/sec | ETA: 7129s | Art. 13
  [14/3191] 0.47 art/sec | ETA: 6712s | Art. 14
  [15/3191] 0.50 art/sec | ETA: 6326s | Art. 15
  [16/3191] 0.53 art/sec | ETA: 5997s | Art. 16
  [17/3191] 0.56 art/sec | ETA: 5699s | Art. 17
  [18/3191] 0.58 art/sec | ETA: 5448s | Art. 18
  [19/3191] 0.61 art/sec | ETA: 5221s | Art. 19
  [20/3191] 0.63 art/sec | ETA: 5006s | Art. 20
  [21/3191] 0.66 art/sec | ETA: 4820s | Art. 21
  [22/3191] 0.68 art/sec | ETA: 4645s | Art. 22
  [23/3191] 0.70 art/sec | ETA: 4494s | Art. 23
  [24/3191] 0.73 art/sec | ETA: 4350s | Art. 24
  [25/3191] 0.75 art/sec | ETA: 4210s | Art. 25
  [26/3191] 0.77 art/sec | ETA: 4088s | Art. 26
  [27/3191] 0.80 art/sec | ETA: 3977s | Art. 27
  [28/3191] 0.82 art/sec | ETA: 3872s | Art. 28
  [29/3191] 0.84 art/sec | ETA: 3774s | Art. 29
  [30/3191] 0.86 art/sec | ETA: 3686s | Art. 30
  [31/3191] 0.88 art/sec | ETA: 3599s | Art. 31
  [32/3191] 0.90 art/sec | ETA: 3519s | Art. 32
  [33/3191] 0.92 art/sec | ETA: 3443s | Art. 33
  [34/3191] 0.94 art/sec | ETA: 3374s | Art. 34
  [35/3191] 0.95 art/sec | ETA: 3305s | Art. 35
  [36/3191] 0.97 art/sec | ETA: 3252s | Art. 36
  [37/3191] 0.99 art/sec | ETA: 3185s | Art. 37
  [38/3191] 1.01 art/sec | ETA: 3134s | Art. 38
