id,label,group,year
c3942016-7a0d-4943-a280-95a56dd9ea30,656405-01,N/A,2008
ff7429a7-999c-45e7-8567-c4c67bf3c279,644330,2,2017
92216beb-4e94-48e8-9119-a6ac4e57bae4,630667,N/A,
d0b06daa-6d71-4fe1-a09e-e85c731a8964,657555,61,2020
2b8cb720-64a2-4c55-9ead-849f0198d114,672945,L,2024
7c945e9f-9b81-47e9-a1b8-d3f38d3966df,639874,N/A,2016
ab212ca1-6e00-418a-a492-9e3a4ce8c868,ab212ca1-6e00-418a-a492-9e3a4ce8c868,N/A,
c3ae5921-a2ce-4ccc-b927-7c58e3a96dd7,659190,2,2020
7755e2af-57db-4447-b5e0-0d884685ae2f,651689,L,2018
277f911d-48ce-4061-a608-26406040ecf4,277f911d-48ce-4061-a608-26406040ecf4,N/A,
74dd39b8-1236-4558-b75d-72794d16c43f,630751,N/A,
4024b944-039a-44e5-9888-80d16e6fe367,657293,63,2020
be92f576-79be-4b27-96b2-dc6f3eeaed89,635551,L,2015
0616f157-47bc-4ddf-810b-3c4f162549ef,619848,1,2011
7fd84b83-9ee7-4a54-8073-972d0f440fe9,655370,L,2019
76ef86a8-5d58-4273-a0c1-74712039b9ac,662678,L,2021
cbe68460-5fff-40f2-b7b8-1b381786df62,663923,2,2022
a7071b0c-c072-468d-b4eb-31c5f45816d8,640602,U,2016
6a7a7c4c-8448-4fa5-ab8b-3d3e74bda42c,662255,2,2021
c752d632-7ee1-4ff1-af4c-cf0bd4aa7385,658947,2,2020
e9121429-6c47-461a-9a51-b90e9dd65e93,649598,L,2018
e9228da5-c605-406c-a53a-3d3bcedc2279,653785,U,2019
8de1b430-8d29-46d4-8050-4e07c3052cc6,658855,U,2020
bd3fa6b6-a64b-47ed-a7e9-2e165e4a006d,655064,L,2019
0e5c9d26-6572-4871-b0af-ef16d24a1cdc,622763,N/A,
28571d2e-c921-4b83-9afb-0c14670cd9e0,649686,U,2018
c3c4014e-92dd-4af1-b4d5-584a70a36577,667684,2,2023
042235fb-6529-4539-af94-e4c9059f43dd,639539,61,2016
71384931-b391-4f39-8dad-2140dbd7bcae,656094,61,2019
51341e00-1a21-4477-96aa-9207b906c4f5,6574320,L,2020
6f242ada-6b24-4d60-8ff2-fb30c0390d80,6599340,1,2020
